,batch_size,Maly,MSQ,GPFQ
0,10,0.00738804,0.04545449949148257,0.00449622280371823
1,30,0.012051378,0.044416903787485015,0.007236345650157119
2,50,0.016882103,0.04477043576477566,0.009436553045091741
3,75,0.020054705,0.04449612884441784,0.010828943163119342
4,100,0.023101566,0.04466950722583328,0.011340554726548836
5,125,0.025993548,0.0443258488007953,0.011807028922624146
6,150,0.028956495,0.04450459514770527,0.012261464067476949
7,175,0.030606566,0.04457677893421782,0.012606842183724468
8,200,0.032233678,0.044569441507444775,0.012917393425413558
